num,length,end,level
288,12,7929,DL1
289,61,7990,DL1
290,23,8013,DL1
291,18,8031,DL1
292,24,8055,DL1
293,23,8078,REAL
294,21,8099,REAL
295,21,8120,DL1
296,21,8141,REAL
297,44,8185,REAL
298,25,8210,DL1
299,26,8236,DL1
300,12,8248,DL1
301,62,8310,DL1
302,14,8324,DL1
303,42,8366,DL1
304,22,8388,REAL
305,25,8413,DL1
306,11,8424,DL1
307,12,8436,REAL
308,14,8450,REAL
309,12,8462,REAL
310,11,8473,REAL
311,14,8487,REAL
312,18,8505,REAL
313,17,8522,REAL
314,26,8548,REAL
315,17,8565,REAL
316,16,8581,REAL
317,13,8594,REAL
318,11,8605,REAL
319,74,8679,REAL
320,11,8690,REAL
321,33,8723,REAL
322,9,8732,REAL
323,9,8741,REAL
324,74,8815,REAL
325,58,8873,REAL
326,21,8894,REAL
327,27,8921,REAL
328,17,8938,REAL
329,51,8989,REAL
330,82,9071,REAL
331,147,9218,REAL
332,39,9257,REAL
333,33,9290,REAL
334,33,9323,REAL
335,144,9467,REAL
336,18,9485,COBB
337,106,9591,REAL
338,19,9610,COBB
339,187,9797,REAL
340,26,9823,COBB
341,152,9975,REAL
342,19,9994,COBB
343,215,10209,REAL
344,47,10256,REAL
345,26,10282,REAL
346,85,10367,REAL
347,12,10379,REAL
348,37,10416,REAL
349,8,10424,REAL
350,36,10460,REAL
351,18,10478,REAL
352,29,10507,REAL
353,16,10523,REAL
354,58,10581,REAL
355,27,10608,REAL
356,101,10709,REAL
357,21,10730,REAL
358,8,10738,REAL
359,44,10782,REAL
360,13,10795,REAL
361,12,10807,REAL
362,20,10827,REAL
363,19,10846,REAL
364,19,10865,REAL
365,31,10896,REAL
366,61,10957,REAL
367,19,10976,REAL
368,14,10990,REAL
369,43,11033,REAL
370,13,11046,REAL
371,32,11078,REAL
372,15,11093,REAL
373,8,11101,REAL
374,131,11232,REAL
375,18,11250,REAL
376,17,11267,REAL
377,11,11278,REAL
378,15,11293,REAL
379,9,11302,REAL
380,13,11315,REAL
381,43,11358,REAL
382,47,11405,REAL
383,16,11421,REAL
384,27,11448,REAL
385,15,11463,REAL
386,15,11478,REAL
387,34,11512,REAL
388,9,11521,REAL
389,32,11553,REAL
390,51,11604,REAL
391,22,11626,REAL
392,19,11645,REAL
393,48,11693,REAL
394,18,11711,REAL
395,13,11724,REAL
396,51,11775,REAL
397,11,11786,REAL
398,85,11871,REAL
399,35,11906,REAL
400,17,11923,REAL
401,70,11993,REAL
402,15,12008,REAL
403,36,12044,REAL
404,123,12167,REAL
405,125,12292,REAL
406,132,12424,REAL
407,54,12478,REAL
408,47,12525,REAL
409,19,12544,REAL
410,43,12587,REAL
411,39,12626,REAL
412,132,12758,REAL
413,20,12778,REAL
414,26,12804,REAL
415,16,12820,REAL
416,64,12884,REAL
417,53,12937,REAL
418,43,12980,REAL
419,34,13014,REAL
420,21,13035,REAL
421,37,13072,REAL
422,14,13086,REAL
423,54,13140,REAL
424,44,13184,REAL
425,38,13222,REAL
426,23,13245,REAL
427,82,13327,REAL
428,26,13353,REAL
429,28,13381,REAL
430,31,13412,REAL
431,70,13482,REAL
432,64,13546,REAL
433,48,13594,REAL
434,23,13617,REAL
435,50,13667,REAL
436,16,13683,REAL
437,13,13696,REAL
438,40,13736,REAL
439,20,13756,REAL
440,28,13784,REAL
441,83,13867,REAL
442,72,13939,REAL
443,44,13983,REAL
444,24,14007,REAL
445,42,14049,REAL
446,123,14172,REAL
447,31,14203,REAL
448,41,14244,REAL
449,33,14277,REAL
450,42,14319,REAL
451,60,14379,REAL
452,74,14453,REAL
453,127,14580,REAL
454,18,14598,REAL
455,14,14612,REAL
456,28,14640,REAL
457,23,14663,REAL
458,15,14678,REAL
459,23,14701,REAL
460,20,14721,REAL
461,11,14732,REAL
462,48,14780,REAL
463,25,14805,REAL
464,28,14833,REAL
465,26,14859,REAL
466,17,14876,REAL
467,19,14895,REAL
468,24,14919,REAL
469,8,14927,REAL
470,10,14937,REAL
471,22,14959,REAL
472,11,14970,REAL
473,12,14982,REAL
474,12,14994,REAL
475,15,15009,REAL
476,14,15023,REAL
477,17,15040,REAL
478,16,15056,REAL
479,20,15076,REAL
480,86,15162,REAL
481,80,15242,REAL
482,26,15268,REAL
483,17,15285,REAL
484,13,15298,REAL
485,19,15317,REAL
486,23,15340,DL1
487,38,15378,DL1
488,34,15412,DL1
489,61,15473,DL1
490,91,15564,DL1
491,23,15587,DL1
492,44,15631,DL1
493,14,15645,DL1
494,11,15656,DL1
495,32,15688,DL1
496,47,15735,DL1
497,35,15770,DL1
498,53,15823,DL1
499,70,15893,DL1
500,46,15939,DL1
501,19,15958,DL1
502,37,15995,DL1
503,23,16018,DL1
504,32,16050,DL1
505,30,16080,DL1
506,18,16098,DL1
507,19,16117,DL1
508,32,16149,DL1
509,27,16176,DL1
510,45,16221,DL1
511,22,16243,DL1
512,10,16253,DL1
513,13,16266,DL1
514,16,16282,DL1
515,8,16290,DL1
516,40,16330,DL1
517,29,16359,DL1
518,12,16371,DL1
519,50,16421,DL1
520,16,16437,DL1
521,17,16454,DL1
522,10,16464,DL1
523,12,16476,DL1
524,36,16512,DL1
525,22,16534,DL1
526,21,16555,DL1
527,23,16578,DL1
528,21,16599,DL1
529,36,16635,REAL
530,22,16657,REAL
531,24,16681,REAL
532,149,16830,REAL
533,50,16880,REAL
534,61,16941,REAL
535,20,16961,REAL
536,22,16983,REAL
537,25,17008,REAL
538,9,17017,REAL
539,9,17026,REAL
540,36,17062,REAL
541,64,17126,DL1
542,40,17166,DL1
543,238,17404,DL1
544,47,17451,DL1
545,22,17473,DL1
546,55,17528,DL1
547,53,17581,DL1
548,37,17618,DL1
549,42,17660,DL1
550,33,17693,DL1
551,119,17812,DL1
552,30,17842,DL1
553,74,17916,DL1
554,28,17944,DL1
555,23,17967,DL1
556,25,17992,DL1
557,27,18019,DL1
558,25,18044,DL1
559,22,18066,DL1
560,40,18106,DL1
561,75,18181,DL1
562,41,18222,DL1
563,37,18259,DL1
564,36,18295,DL1
565,124,18419,DL1
566,55,18474,DL1
567,18,18492,DL1
568,35,18527,DL1
569,65,18592,DL1
570,21,18613,DL1
571,96,18709,DL1
572,67,18776,DL1
573,178,18954,DL1
574,43,18997,DL1
575,40,19037,DL1
576,39,19076,DL1
577,17,19093,DL1
578,33,19126,DL1
579,18,19144,DL1
580,33,19177,DL1
581,22,19199,COBB
582,15,19214,DL1
583,20,19234,COBB
584,62,19296,DL1
585,25,19321,DL1
586,37,19358,DL1
587,20,19378,DL1
588,43,19421,DL1
589,91,19512,DL1
590,34,19546,DL1
591,37,19583,DL1
592,21,19604,DL1
593,9,19613,DL1
594,9,19622,DL1
595,16,19638,DL1
596,12,19650,DL1
597,8,19658,DL1
598,8,19666,DL1
599,9,19675,DL1
600,136,19811,REAL
601,11,19822,REAL
602,34,19856,REAL
603,16,19872,REAL
604,97,19969,REAL
605,25,19994,REAL
606,21,20015,REAL
607,17,20032,REAL
608,15,20047,REAL
609,15,20062,REAL
610,31,20093,REAL
611,17,20110,REAL
612,7,20117,REAL
613,35,20152,REAL
614,27,20179,REAL
615,40,20219,REAL
616,42,20261,REAL
617,15,20276,REAL
618,63,20339,REAL
619,48,20387,REAL
620,24,20411,REAL
621,24,20435,REAL
622,17,20452,REAL
623,63,20515,REAL
624,19,20534,REAL
625,38,20572,REAL
626,19,20591,REAL
627,16,20607,REAL
628,40,20647,REAL
629,38,20685,REAL
630,64,20749,REAL
631,13,20762,REAL
632,16,20778,REAL
633,11,20789,REAL
634,18,20807,REAL
635,9,20816,REAL
636,26,20842,REAL
637,144,20986,REAL
638,119,21105,REAL
639,21,21126,REAL
640,27,21153,REAL
641,15,21168,REAL
642,25,21193,REAL
643,34,21227,REAL
644,38,21265,REAL
645,33,21298,REAL
646,18,21316,REAL
647,62,21378,REAL
648,16,21394,REAL
649,31,21425,REAL
650,39,21464,REAL
651,131,21595,REAL
652,7,21602,REAL
653,31,21633,REAL
654,16,21649,REAL
655,12,21661,REAL
656,14,21675,REAL
657,63,21738,REAL
658,43,21781,REAL
659,10,21791,REAL
660,11,21802,REAL
661,24,21826,REAL
662,24,21850,REAL
663,22,21872,REAL
664,32,21904,REAL
665,10,21914,REAL
666,38,21952,REAL
667,21,21973,REAL
668,9,21982,REAL
669,7,21989,REAL
670,9,21998,REAL
671,9,22007,REAL
672,10,22017,REAL
673,9,22026,REAL
674,18,22044,REAL
675,7,22051,REAL
676,8,22059,REAL
677,26,22085,REAL
678,27,22112,REAL
679,19,22131,REAL
680,17,22148,REAL
681,13,22161,REAL
682,17,22178,REAL
683,17,22195,REAL
684,19,22214,REAL
685,7,22221,REAL
686,12,22233,REAL
687,19,22252,REAL
688,13,22265,REAL
689,59,22324,REAL
690,32,22356,REAL
691,28,22384,REAL
692,8,22392,REAL
693,86,22478,REAL
694,15,22493,REAL
695,28,22521,REAL
696,14,22535,REAL
697,22,22557,REAL
698,34,22591,REAL
699,14,22605,REAL
700,18,22623,REAL
701,12,22635,REAL
702,9,22644,REAL
703,18,22662,REAL
704,23,22685,REAL
705,7,22692,REAL
706,7,22699,REAL
707,9,22708,REAL
708,11,22719,REAL
709,9,22728,REAL
710,7,22735,REAL
711,10,22745,REAL
712,10,22755,REAL
713,9,22764,REAL
714,22,22786,REAL
715,18,22804,REAL
716,11,22815,REAL
717,15,22830,REAL
